id,day,word,meaning,source
d01-001,1,abandon,"방종, 자유방임; 버리다

ad(~에게)+bandon(통제)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-002,1,abase,"(품위, 지위) 강등시키다

ad(~까지) + baissier(낮추다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-003,1,abash,"당황하게 하다, 무안하게 하다

es(완전히) + bair(놀라게하다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-004,1,abate,"(불쾌한 것, 심한 것) 약해지다, ; (정도, 세기, 수량) 감소시키다

ad(~까지) + batter(때리다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-005,1,abbreviate,"(단어, 문장, 글) 줄이다

brevis(짧은)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-006,1,abdicate,"(왕권, 권리, 의무) 버리다, 포기하다

ab(~로부터 멀리) + dicare(발표하다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-007,1,aberrant,"정도를 벗어난, 일탈적인

ab(~로부터 멀리) + errare(헤매다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-008,1,abet,"(범죄, 나쁜 짓) 부추기다, 자극하다

ad(~에게) + beter(강요하다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-009,1,abeyance,"(일시적) 중단, 중지, 소강상태

a(~를 향해) + beer(벌리다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
d01-010,1,abhor,"혐오하다, 몹시 싫어하다

ab(~로부터 멀리) + horrere(부들부들 떨다)",https://quizlet.com/kr/1206326833/%EA%B1%B0%EB%A7%8C%EC%96%B4-100-day-01-flash-cards
